x,y,z,rho,p,is_boundary
0.296071,0.279823,0.299355,102.939,0,0
0.280549,0.277493,0.391132,114.109,1010.91,0
0.278311,0.295875,0.498482,112.643,864.27,0
0.292143,0.294194,0.591966,117.531,1353.06,0
0.294438,0.295054,0.674876,99.6085,0,0
0.292971,0.278529,0.782624,97.9492,0,0
0.28973,0.282526,0.882484,119.361,1536.13,0
0.290999,0.294552,0.96214,123.575,1957.46,0
0.29874,0.375118,0,116.532,1253.19,0
0.290536,0.389131,0.100449,102.434,0,0
0.281217,0.395183,0.202283,111.735,773.473,0
0.297195,0.375003,0.305898,108.425,442.533,0
0.2808,0.378743,0.379396,107.781,378.085,0
0.287627,0.389052,0.488054,108.412,441.221,0
0.296759,0.379102,0.577629,107.873,387.29,0
0.305373,0.402736,0.680289,112.024,802.388,0
0.288947,0.38246,0.781872,110.685,668.522,0
0.297861,0.389831,0.868108,109.582,558.181,0
0.298496,0.392872,0.964493,102.59,0,0
0.279926,0.489578,0,93.4543,0,0
0.301204,0.486157,0.100302,100.632,0,0
0.278365,0.487427,0.200671,111.997,799.738,0
0.295777,0.482585,0.295672,100.024,0,0
0.299779,0.481611,0.380405,113.722,972.219,0
0.292044,0.500451,0.495074,106.135,213.521,0
0.288709,0.491943,0.590799,117.487,1348.65,0
0.30599,0.47991,0.675744,118.018,1401.82,0
0.285372,0.479533,0.776309,101.872,0,0
0.290455,0.489338,0.875133,105.871,187.096,0
0.29542,0.499654,0.968065,113.057,905.689,0
0.306503,0.589903,3.07715e-05,104.554,55.4474,0
0.279151,0.586102,0.0937911,94.6838,0,0
0.285476,0.58972,0.20113,104.137,13.6719,0
0.294922,0.596287,0.294352,129.339,2533.9,0
0.285189,0.595258,0.375902,108.497,449.656,0
0.303513,0.570238,0.477766,105.415,141.483,0
0.297653,0.57534,0.593695,115.443,1144.28,0
0.290778,0.58225,0.675902,118.408,1440.79,0
0.278293,0.588488,0.774107,106.417,241.68,0
0.280557,0.596651,0.879162,107.978,397.768,0
0.289127,0.570724,0.986535,112.858,885.84,0
0.282837,0.686524,0.0120312,125.513,2151.29,0
0.293882,0.68883,0.0898856,127.462,2346.21,0
0.292717,0.685937,0.193314,121.711,1771.07,0
0.278602,0.669637,0.282448,109.309,530.914,0
0.287466,0.689586,0.404361,99.9496,0,0
0.286595,0.675734,0.490436,109.498,549.779,0
0.300106,0.673073,0.573991,110.745,674.51,0
0.292296,0.695408,0.687874,107.172,317.171,0
0.281915,0.674234,0.780434,114.01,1001.04,0
0.30258,0.678288,0.873183,108.835,483.542,0
0.305007,0.680097,0.978358,88.866,0,0
0.282473,0.764643,0.0134195,112.021,802.074,0
0.29427,0.765769,0.109086,123.906,1990.64,0
0.302166,0.767471,0.190544,123.836,1983.56,0
0.293723,0.785251,0.300532,96.9926,0,0
0.291699,0.783473,0.391754,121.483,1748.33,0
0.280899,0.789389,0.49005,111.372,737.163,0
0.304991,0.779591,0.598517,107.654,365.384,0
0.303881,0.778938,0.677355,131.379,2737.89,0
0.298317,0.790906,0.766483,111.413,741.312,0
0.283874,0.776019,0.890282,110.125,612.521,0
0.279283,0.784851,0.9685,122.405,1840.5,0
0.306458,0.885436,1.43939e-05,102.622,0,0
0.292385,0.877829,0.108218,110.75,674.957,0
0.279127,0.882342,0.185085,114.994,1099.4,0
0.300776,0.881909,0.302641,118.299,1429.94,0
0.282471,0.882338,0.378259,135.276,3127.61,0
0.289925,0.872549,0.477435,98.638,0,0
0.284137,0.876906,0.590781,100.861,0,0
0.292756,0.866464,0.689915,100.151,0,0
0.286953,0.875168,0.789664,117.301,1330.09,0
0.283382,0.877927,0.872913,103.98,0,0
0.29972,0.871662,0.983347,96.9567,0,0
0.301846,0.969217,0.00264233,129.545,2554.52,0
0.286654,0.960063,0.0836939,108.818,481.795,0
0.281365,0.975101,0.203856,101.72,0,0
0.288709,0.964608,0.30314,122.116,1811.61,0
0.281209,0.96023,0.394143,125.103,2110.35,0
0.281442,0.981537,0.47843,103.719,0,0
0.292269,0.972433,0.585519,100.534,0,0
0.306918,0.982025,0.68891,122.804,1880.38,0
0.302062,0.974487,0.767217,126.357,2235.7,0
0.298705,0.975473,0.882542,111.703,770.281,0
0.304714,0.986845,0.960737,108.902,490.224,0
0.305368,1.07542,0,99.053,0,0
0.296347,1.07611,0.0939527,91.6749,0,0
0.280099,1.06378,0.196306,114.63,1062.95,0
0.294105,1.07804,0.299578,92.1806,0,0
0.292783,1.06863,0.389466,119.934,1593.38,0
0.279785,1.07755,0.475586,114.11,1010.97,0
0.292608,1.06986,0.583742,99.8135,0,0
0.282256,1.07252,0.681901,100.224,0,0
0.282584,1.06196,0.788198,118.816,1481.64,0
0.304186,1.08475,0.867316,98.3717,0,0
0.298918,1.08515,0.967846,86.742,0,0
0.400545,0.0904613,0.00284976,106.71,271.009,0
0.392309,0.0872397,0.0831144,91.316,0,0
0.383587,0.0885068,0.206744,95.8674,0,0
0.392907,0.103812,0.288194,112.222,822.152,0
0.398353,0.109585,0.391954,115.104,1110.39,0
0.403648,0.0926042,0.48356,96.5006,0,0
0.384556,0.0823644,0.598793,90.2067,0,0
0.379497,0.0964827,0.695883,128.6,2459.99,0
0.38998,0.093008,0.770539,117.168,1316.83,0
0.380543,0.0890483,0.863525,90.9023,0,0
0.387122,0.085641,0.98234,89.8178,0,0
0.403488,0.185894,0.0045562,96.8496,0,0
0.382897,0.197584,0.102341,108.151,415.063,0
0.393728,0.188931,0.184654,110.839,683.887,0
0.40379,0.187674,0.281486,125.329,2132.87,0
0.398517,0.194589,0.37777,115.596,1159.62,0
0.388123,0.186578,0.483645,106.398,239.801,0
0.388849,0.20759,0.57686,115.488,1148.8,0
0.399862,0.185976,0.673254,93.5044,0,0
0.401149,0.204031,0.789408,102.24,0,0
0.380987,0.200315,0.867562,121.465,1746.49,0
0.40022,0.19967,0.982146,90.9839,0,0
0.390372,0.293906,0,108.5,450.048,0
0.397325,0.284105,0.0867137,115.882,1188.17,0
0.381882,0.287484,0.207122,112.414,841.396,0
0.393964,0.288071,0.27908,121.037,1703.66,0
0.3974,0.303052,0.377205,99.8192,0,0
0.37829,0.299924,0.498777,91.9602,0,0
0.387494,0.284591,0.593104,109.021,502.074,0
0.388826,0.297435,0.694896,124.324,2032.42,0
0.388657,0.300053,0.776093,119.893,1589.26,0
0.382482,0.288506,0.876108,103.899,0,0
0.37654,0.286857,0.972721,104.35,34.9533,0
0.390508,0.397219,0,99.7516,0,0
0.389509,0.378071,0.106329,94.025,0,0
0.398362,0.397837,0.203748,114.396,1039.59,0
0.393455,0.396915,0.283455,118.075,1407.5,0
0.403656,0.399895,0.393791,119.396,1539.62,0
0.392173,0.391524,0.473203,108.03,402.984,0
0.394068,0.399744,0.598221,97.8427,0,0
0.394049,0.376814,0.683859,120.447,1644.67,0
0.391524,0.385743,0.782264,115.723,1172.34,0
0.396179,0.39548,0.880332,115.936,1193.58,0
0.383541,0.387434,0.971459,103.262,0,0
0.403014,0.4982,0,106.636,263.633,0
0.387767,0.499996,0.100902,127.832,2383.22,0
0.396873,0.493593,0.18435,104.328,32.7675,0
0.395437,0.478428,0.285807,115.958,1195.84,0
0.380812,0.486828,0.383216,120.411,1641.06,0
0.401385,0.490511,0.480474,112.583,858.347,0
0.38008,0.498762,0.572532,108.062,406.246,0
0.398905,0.475088,0.667781,112.906,890.575,0
0.386056,0.479098,0.768118,90.9822,0,0
0.384573,0.493369,0.880216,112.111,811.111,0
0.387982,0.492177,0.963988,101.861,0,0
0.38537,0.584932,5.18209e-07,115.225,1122.46,0
0.391518,0.570216,0.10178,114.648,1064.84,0
0.380078,0.594256,0.194571,101.134,0,0
0.38104,0.596308,0.302103,103.063,0,0
0.402567,0.573944,0.384144,125.414,2141.39,0
0.399044,0.592214,0.485957,120.176,1617.56,0
0.389087,0.595729,0.595131,118.033,1403.25,0
0.379873,0.588829,0.680048,109.756,575.562,0
0.38812,0.588218,0.78609,88.0869,0,0
0.380447,0.594767,0.887362,116.596,1259.61,0
0.395621,0.596482,0.962946,121.798,1779.82,0
0.378756,0.675682,0.0139477,101.227,0,0
0.383147,0.685259,0.10685,102.154,0,0
0.394297,0.690362,0.199439,115.911,1191.1,0
0.403721,0.695413,0.281344,118.208,1420.82,0
0.393322,0.677247,0.379309,99.6298,0,0
0.384413,0.673302,0.492001,101.987,0,0
